airline_name,month,origin_city,total_flights,delayed_flights,lat,lon
JetBlue Airways,2,"Denver, CO",70,28.0,39.8561,-104.6737
JetBlue Airways,2,"Houston, TX",42,16.0,29.9804,-95.3397
JetBlue Airways,2,"Las Vegas, NV",264,77.0,36.084,-115.1537
JetBlue Airways,2,"Los Angeles, CA",514,80.0,33.9416,-118.4085
JetBlue Airways,2,"New York, NY",3026,763.0,40.6413,-73.7781
JetBlue Airways,2,"Phoenix, AZ",140,52.0,33.4342,-112.0081
JetBlue Airways,2,"San Francisco, CA",277,58.0,37.6213,-122.379
JetBlue Airways,2,"Seattle, WA",28,12.0,47.4502,-122.3088
JetBlue Airways,3,"Atlanta, GA",160,28.0,33.6407,-84.4277
JetBlue Airways,3,"Chicago, IL",85,24.0,41.9742,-87.9073
JetBlue Airways,3,"Dallas/Fort Worth, TX",31,8.0,32.8998,-97.0403
JetBlue Airways,3,"Denver, CO",120,37.0,39.8561,-104.6737
JetBlue Airways,3,"Houston, TX",62,23.0,29.9804,-95.3397
JetBlue Airways,3,"Las Vegas, NV",313,57.0,36.084,-115.1537
JetBlue Airways,3,"Los Angeles, CA",609,101.0,33.9416,-118.4085
JetBlue Airways,3,"New York, NY",3511,785.0,40.6413,-73.7781
JetBlue Airways,3,"Phoenix, AZ",153,37.0,33.4342,-112.0081
JetBlue Airways,3,"San Francisco, CA",312,39.0,37.6213,-122.379
JetBlue Airways,3,"Seattle, WA",31,11.0,47.4502,-122.3088
PSA Airlines,1,"Atlanta, GA",290,61.0,33.6407,-84.4277
PSA Airlines,1,"Charlotte, NC",4757,826.0,35.214,-80.9431
PSA Airlines,1,"Dallas/Fort Worth, TX",1110,260.0,32.8998,-97.0403
PSA Airlines,1,"Houston, TX",32,9.0,29.9804,-95.3397
PSA Airlines,2,"Atlanta, GA",277,72.0,33.6407,-84.4277
PSA Airlines,2,"Charlotte, NC",4367,1217.0,35.214,-80.9431
PSA Airlines,2,"Dallas/Fort Worth, TX",943,261.0,32.8998,-97.0403
PSA Airlines,2,"Houston, TX",22,9.0,29.9804,-95.3397
PSA Airlines,3,"Atlanta, GA",320,59.0,33.6407,-84.4277
PSA Airlines,3,"Charlotte, NC",4924,989.0,35.214,-80.9431
PSA Airlines,3,"Dallas/Fort Worth, TX",996,259.0,32.8998,-97.0403
PSA Airlines,3,"Houston, TX",21,6.0,29.9804,-95.3397
Republic Airways,1,"Atlanta, GA",88,8.0,33.6407,-84.4277
Republic Airways,1,"Charlotte, NC",341,41.0,35.214,-80.9431
Republic Airways,1,"Chicago, IL",2802,315.0,41.9742,-87.9073
Republic Airways,1,"Dallas/Fort Worth, TX",1,0.0,32.8998,-97.0403
Republic Airways,1,"Houston, TX",55,8.0,29.9804,-95.3397
Republic Airways,1,"New York, NY",5451,754.0,40.6413,-73.7781
Republic Airways,2,"Atlanta, GA",67,20.0,33.6407,-84.4277
Republic Airways,2,"Charlotte, NC",266,34.0,35.214,-80.9431
Republic Airways,2,"Chicago, IL",2484,384.0,41.9742,-87.9073
Republic Airways,2,"Dallas/Fort Worth, TX",4,1.0,32.8998,-97.0403
Republic Airways,2,"Houston, TX",51,12.0,29.9804,-95.3397
